"sample","stromal","immune","estimate","purity"
"CGGA_2038",-847.838514163293,24.1908500447896,-823.647664118503,0.885101029506214
"CGGA_2039",-1241.1086374067,-364.487409628472,-1605.59604703517,0.932578686069765
"CGGA_2046",-656.809551739253,625.627468355115,-31.1820833841373,0.825104023108933
"CGGA_2047",-697.829474644542,1116.06461283862,418.235138194078,0.786064946629335
"CGGA_2053",-1488.31579934946,-1101.0341422082,-2589.34994155766,0.974816264119989
"CGGA_2056",-407.039099432407,1012.96694943778,605.927850005368,0.768738230468498
"CGGA_2062",-970.599159848311,246.277975873892,-724.321183974419,0.878221691236621
"CGGA_2075",-614.762628120095,632.569427482868,17.8067993627735,0.821019947884655
"CGGA_2078",-135.096694992633,839.568719798002,704.47202480537,0.759406751584351
"CGGA_2079",-1544.55246540568,-868.128136221614,-2412.68060162729,0.968705830143768
"CGGA_2081",-1794.68906316217,-984.676661412587,-2779.36572457475,0.98065650033342
"CGGA_2082",-592.063161887485,1146.38118904859,554.318027161103,0.773561281168015
"CGGA_2088",-145.899005195615,1090.37984762107,944.480842425452,0.736018718806887
"CGGA_2106",-1140.82232540778,-130.863911740204,-1271.68623714798,0.913773333376272
"CGGA_2115",-1380.53294963145,-556.321563993941,-1936.85451362539,0.949021474081522
"CGGA_2121",221.467280918602,937.400423209903,1158.86770412851,0.714354181390675
"CGGA_2129",-991.078402437691,-591.026400754424,-1582.10480319212,0.931328443445723
"CGGA_265",-965.945549148956,5.99280633554266,-959.952742813414,0.894234956144072
"CGGA_279",-1348.94870817501,-99.2348041578855,-1448.1835123329,0.923989867860328
"CGGA_28",-1627.41998549213,-301.177900953032,-1928.59788644516,0.948638748146553
"CGGA_288",-668.939906308348,577.121218430314,-91.818687878034,0.83010002648301
"CGGA_290",-1235.21160018411,-772.38305718117,-2007.59465736528,0.952243354718894
"CGGA_320",-1451.45524302611,-531.389822425169,-1982.84506545127,0.951127786815469
"CGGA_336",-1879.62443133567,-639.890613247108,-2519.51504458278,0.972479026587193
"CGGA_358",-801.965050718662,652.453992399065,-149.511058319597,0.834792402165559
"CGGA_362",-593.627497272844,1042.54555495117,448.918057678325,0.783272927044803
"CGGA_369",-1247.62256439647,-602.8943603399,-1850.51692473637,0.94495058222804
"CGGA_406",-2252.19665253022,-1566.63614469393,-3818.83279722416,0.999013290002588
"CGGA_42",-1619.35996872672,-258.08025624539,-1877.44022497211,0.946236354795881
