,Dataset,Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
53,tidied_integrated_df_7,LogisticRegression,0.7562345326480107,0.028403047102501182,0.39780596993780726,0.04565320467770649,0.6526315789473685,0.05136221055566428,0.4908425147836912,0.02642610182735142,0.7460198699362787,0.02687986581789902,0.4512336528664087,0.07279151515251073
54,tidied_integrated_df_7,NaiveBayes,0.7328954882924043,0.040573025149814056,0.364167695050048,0.045140225726451225,0.6415204678362573,0.12366174294435048,0.46098551603195564,0.0623760140237139,0.7062836011597622,0.08719040869090497,0.37244769511426246,0.06450058569276491
55,tidied_integrated_df_7,Ensemble,0.8185227489053875,0.051787199521801226,0.5184110275689223,0.13928636005068026,0.532748538011696,0.07333062848850168,0.5200972976982768,0.09836511729735055,0.7854366307926679,0.050328206024968625,0.49589049234704596,0.10210858841826603
56,tidied_integrated_df_8,Deep,0.8440319817247286,0.01650119811924775,0.6333333333333333,0.07601169500660919,0.3385964912280702,0.09726607198265165,0.42955826008564346,0.09158443449180056,0.7527682769014039,0.06113106109295356,0.45515903443402356,0.060811930439163636
57,tidied_integrated_df_8,SVM,0.750428326670474,0.021676403862823032,0.37460075460075454,0.016533572721689063,0.5666666666666667,0.09570653822446215,0.44619063476206333,0.02037690909398146,0.759516192441889,0.05469721934814305,0.4195438577822765,0.04236874185165599
58,tidied_integrated_df_8,RandomForest,0.8224633542737483,0.036402430090519654,0.5269139194139194,0.12660688908880088,0.391812865497076,0.0659808781640624,0.4448769577605539,0.0831087666147863,0.7839617425917735,0.05391608360672538,0.47814087570728825,0.11283769204221164
59,tidied_integrated_df_8,XGBoost,0.8245002855511135,0.020029003748095638,0.5185242518059856,0.06204330588907035,0.47953216374269003,0.07095088134785078,0.4936552366093962,0.05036384387285973,0.7785856798859895,0.04094917724056128,0.4968654635866868,0.10524914091104205
60,tidied_integrated_df_8,LogisticRegression,0.7504854368932039,0.030596466854264724,0.3878309461535268,0.04531350939996679,0.6643274853801169,0.09829781403560149,0.4872630074328187,0.056139490157418565,0.7473989712844202,0.04821563570873715,0.4412589517881342,0.05990158972822993
61,tidied_integrated_df_8,NaiveBayes,0.5810394060536835,0.046091114561320416,0.2616551812680097,0.012032100734332958,0.7274853801169592,0.10564259099876909,0.3826770629200297,0.017543592345033863,0.7165092469736433,0.04226917786294832,0.3816612600975409,0.06210481370443291
62,tidied_integrated_df_8,Ensemble,0.806891300209404,0.03187806712784406,0.4731666666666666,0.08316716766716166,0.5432748538011696,0.0955813918560292,0.5018579788224831,0.07551034834586663,0.792160630334005,0.03957980447817807,0.49182757547903605,0.06858672837460232
