,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
FSCN1,8466.84093056979,0.377048628760238,0.125952980470597,2.99356654643245,0.00275737369718944,0.00549106733563722,NS
FSCN2,37.506480844199,-0.966028083461649,0.240326351620893,-4.01965109920832,5.82843916688074e-05,0.000162947338196363,NS
FSD1,2890.45577750094,-1.56751513613982,0.160790223970511,-9.74882114989346,1.86622724319694e-22,1.8932875382233e-20,Down
FSD1L,539.917598230543,-0.135141474741919,0.106543795402282,-1.26841243294985,0.204650703954921,0.263453900118668,NS
FSD2,24.9879761875243,-1.33619528671898,0.201009402164656,-6.64742679859541,2.98261234560696e-11,2.65398914070596e-10,Down
FSIP1,58.9713110586184,-1.02063093890262,0.276537091358483,-3.69075603525297,0.00022358850628397,0.000557665739705195,Down
FSIP2,49.4092399598088,0.296904433438846,0.21332255816911,1.39180983008593,0.163979992448405,0.217035489026623,NS
FST,74.2390729407244,1.23582039712133,0.206516545453561,5.98412293991827,2.17558948063271e-09,1.36559042728655e-08,Up
FSTL1,1569.96140526639,1.84535725985494,0.145217193836673,12.7075672728563,5.36784681149992e-37,7.92098994947879e-34,Up
FSTL3,1064.50950709911,-0.0476021586617021,0.155238495048501,-0.306638882622702,0.759118254411098,0.80243597908841,NS
FSTL4,147.671512660003,0.122720053970825,0.265624150771652,0.462006386144922,0.644076740828913,0.702125833252848,NS
FSTL5,203.80795708946,-1.0837638964918,0.242445954877205,-4.47012571127742,7.81736356226917e-06,2.54444446245745e-05,Down
FTCD,328.489229701302,-1.9172648849571,0.22822088800575,-8.40091764478981,4.43003017441939e-17,1.50751047780242e-15,Down
FTCDNL1,58.4997906828246,-0.00794598767616524,0.144568979267947,-0.054963296527383,0.956167704697705,0.96478611193219,NS
FTH1,5589.77439518866,0.193048607687198,0.143513667771169,1.34515834404715,0.178574105160301,0.233778117183806,NS
FTH1P10,19.3872059219541,-0.814878209625637,0.237260708736145,-3.43452657612961,0.000593589863203094,0.00135936098469422,NS
FTH1P11,10.144824189022,-0.333231575771408,0.169761862667171,-1.96293543517916,0.0496536766916577,0.0751635251383929,NS
FTH1P16,28.777284591421,-0.824835099797268,0.214997506011227,-3.83648682768532,0.000124806886903933,0.000326910664551338,NS
FTH1P2,42.6447533585133,-0.556265592977564,0.161642018710022,-3.44134277347451,0.000578834757102692,0.00132932170023923,NS
FTH1P20,40.2265867246306,-0.51094840377617,0.176259192961636,-2.89884683567898,0.00374537807459748,0.00725910172022284,NS
FTH1P23,49.2027065020068,-1.62690989089395,0.287525194468846,-5.65832115651427,1.52860892275232e-08,8.1512417983297e-08,Down
FTH1P7,35.8984884230967,-0.49546027643382,0.161527908516793,-3.06733542818274,0.00215976350849302,0.00439700003384656,NS
FTL,36964.7533145385,0.354324304260705,0.188553701985724,1.87916917318086,0.0602213973907877,0.0891892082524878,NS
FTLP3,92.5957241359907,0.227427545106792,0.201751559388454,1.12726536437273,0.259630301685306,0.324577869451316,NS
FTO,1170.85092731149,-0.373209461492958,0.263910940771212,-1.41414925960383,0.157318082399835,0.209258962018694,NS
FTOP1,27.4940145740871,-0.653712321101152,0.149356708348487,-4.37685275960873,1.20405252208861e-05,3.77519423189924e-05,NS
FTSJ1,338.524815422912,-0.0790037547775037,0.129602639268975,-0.609584459260435,0.5421371088346,0.608853822663807,NS
FTSJ2,620.030395478779,-0.0441899141469234,0.099985501399833,-0.441963219949379,0.658515821337057,0.715033033108778,NS
FTSJ3,1725.50437757923,-0.373880093473767,0.0982231523095605,-3.80643549593527,0.000140984040954455,0.000365684396416222,NS
FTX,200.090659816198,-1.31468482342406,0.236130504629262,-5.56761959022699,2.58242836457711e-08,1.32358627135509e-07,Down
FUBP1,1463.7242831777,0.334201410667526,0.10035803643976,3.33009116682082,0.000868175534184106,0.00192201653994495,NS
FUBP3,2204.04306594869,0.266874052519276,0.0941204405905844,2.83545264816762,0.00457607981874972,0.00872637777466464,NS
FUCA1,342.163972368784,0.800114162859977,0.123260961702749,6.49122116043117,8.51433803765376e-11,6.84181856570276e-10,NS
FUCA2,423.574428222222,0.767605082764916,0.140023238772775,5.48198348711647,4.2058349788804e-08,2.06064332560177e-07,NS
FUK,1254.21916151819,-0.459586101146628,0.0984048924616957,-4.67035824794507,3.00674906238957e-06,1.06052913473941e-05,NS
FUNDC1,404.984227997841,-0.306272269820524,0.0885921926539951,-3.45710226426722,0.000546017599650262,0.00125965856701578,NS
FUNDC2,638.277305711193,-0.117483023960275,0.117466140255937,-1.00014373251987,0.317240954737858,0.385265238463632,NS
FUOM,262.250580897291,-0.771614808047578,0.22810095531228,-3.38277762577191,0.000717567094341075,0.00161591968303889,NS
FURIN,1772.67815017384,0.262612268359458,0.0759711227328994,3.45673801982307,0.00054675611415659,0.00126100387112671,NS
FUS,9182.03225915792,-0.0285209118323923,0.0894238728105811,-0.31894069151764,0.749771487024801,0.793835416958227,NS
FUT1,61.7038827512787,-0.95485486814223,0.191327428090229,-4.99068470042846,6.01656385638123e-07,2.41436006221953e-06,NS
FUT10,148.673708914661,-0.0227292345688953,0.139425039006518,-0.16302118135203,0.870501757452997,0.895450338173556,NS
FUT11,509.888974685331,-0.137731855815326,0.0632363713438324,-2.17804805823602,0.0294024590250465,0.0468775871618263,NS
FUT2,72.8715539136665,-0.447647833483438,0.150963855388683,-2.96526497903017,0.00302422319776797,0.00597555580598536,NS
FUT3,29.6127796089482,-1.60852596184751,0.268905654210187,-5.98174838149821,2.20755106173031e-09,1.38287677109451e-08,Down
FUT4,110.15318137367,0.403402623462145,0.163732561278364,2.4637898553136,0.0137476687442162,0.0234995955198101,NS
FUT7,31.7078981475806,-1.05756501184107,0.204354070832265,-5.17515999330948,2.27715761423017e-07,9.8331530710785e-07,Down
FUT8,861.111859536496,0.0317811035886209,0.149699265826404,0.212299662347544,0.831873258834637,0.862974802671684,NS
FUT9,1207.96173656677,-0.589837877436622,0.161432463520315,-3.65377486395352,0.000258412874529622,0.000637664606166741,NS
FUZ,688.758831943408,-0.416664117547561,0.0957531544755834,-4.35144011525812,1.35246262809719e-05,4.20076030984951e-05,NS
FXN,217.992423210572,-0.323139906437256,0.0653616363995536,-4.94387723804698,7.65839396741911e-07,3.02348812274011e-06,NS
FXR1,2421.54452016065,-0.122741056070238,0.0712453630089416,-1.72279360910595,0.0849258549090862,0.121135015543435,NS
FXR2,2108.35259309214,-0.540008926977405,0.0907025501771865,-5.95362452238115,2.62268134440843e-09,1.61377420706739e-08,NS
FXYD1,15.2770326606238,-0.527006772847875,0.284727570756511,-1.85091584719962,0.0641816605454683,0.0944340748707434,NS
FXYD2,97.9635944891613,-2.48450466231085,0.223121707029834,-11.1351992389456,8.45557172635663e-29,2.74501680524442e-26,Down
FXYD3,63.4700448266505,-0.163415876843547,0.223873343147962,-0.729947900655341,0.465422031182925,0.534507599417096,NS
FXYD5,771.679105685113,-0.407632224463715,0.236559586508063,-1.72316933116478,0.0848579080612194,0.121070015263225,NS
FXYD6,2162.44188679381,-0.919669822424615,0.146041846055209,-6.29730345970117,3.0286800209475e-10,2.18301661190141e-09,NS
FXYD7,1988.27798637709,-2.58909334348098,0.321851970225085,-8.04436070927364,8.66968076623066e-16,2.11618433379633e-14,Down
FYB,190.117976909985,1.59917002038201,0.248384649366051,6.43828040284919,1.20834619849053e-10,9.48905442375338e-10,Up
FYCO1,452.892091791551,0.599746181950851,0.116942470125362,5.12855749761337,2.91970727228498e-07,1.23740700897467e-06,NS
FYN,7674.79622206529,-0.149974828051687,0.0951296233278974,-1.57653129283133,0.114903412888732,0.15854404947381,NS
FYTTD1,1204.80168650667,0.51146581192949,0.0682786488159194,7.49086018542067,6.8423676781689e-14,1.08780912979469e-12,NS
FZD1,424.313122643293,1.07355564053125,0.148830713890344,7.21326675434901,5.46252544143333e-13,7.01485070928369e-12,Up
FZD10,42.3260795829117,0.829333986328757,0.257163970218351,3.22492293778398,0.00126006581978336,0.002693840777339,NS
FZD2,174.721281333833,0.761058595411411,0.187884722230454,4.05066780511254,5.10716692080729e-05,0.000144047842673404,NS
FZD3,1111.16841694605,0.378788515778464,0.123898577450593,3.05724668977345,0.0022338035451473,0.00453749207168452,NS
FZD4,421.719661676361,0.106461429501696,0.0920602866087977,1.15643165390192,0.247504640329694,0.311288960315481,NS
